bid_id,ad_id,id_bidder,date_bid,bid_price,bid_status
83,60,51,2023-03-15,288702021,Sent
84,7,62,2022-12-23,490177774,Sent
85,28,23,2022-10-30,219160779,Sent
86,88,123,2023-03-15,210024202,Sent
87,75,44,2023-04-12,429792117,Sent
88,41,67,2022-10-30,349534424,Sent
89,97,38,2023-06-07,475910431,Sent
90,33,22,2023-04-11,419112932,Sent
91,31,90,2023-04-02,221630944,Sent
92,92,24,2023-07-14,237824883,Sent
93,66,76,2022-10-25,185651052,Sent
94,51,53,2023-06-19,300702632,Sent
95,50,20,2023-03-17,92201203,Sent
96,68,135,2023-08-21,124680992,Sent
97,15,12,2022-08-31,473550401,Sent
98,58,104,2023-08-22,434489712,Sent
99,39,83,2022-12-18,488705604,Sent
100,77,82,2022-10-03,190039327,Sent
101,42,99,2023-06-10,423194626,Sent
102,53,72,2023-07-21,136402725,Sent
103,57,52,2023-01-28,338458862,Sent
104,57,43,2023-07-12,443600733,Sent
105,71,16,2022-12-04,191908795,Sent
106,2,87,2023-05-25,292187052,Sent
107,1,45,2022-10-25,352019392,Sent
108,74,87,2022-11-24,157392236,Sent
109,27,99,2023-07-05,274417988,Sent
110,34,71,2023-02-20,273150110,Sent
111,78,94,2022-11-26,273661396,Sent
112,57,55,2023-06-23,499199414,Sent
113,84,64,2023-05-01,254244324,Sent
114,34,2,2022-10-11,443889859,Sent
115,3,54,2022-09-01,122108403,Sent
116,66,16,2023-03-13,265300572,Sent
117,63,86,2022-11-28,407056437,Sent
118,80,66,2023-06-11,100410043,Sent
119,7,134,2023-03-13,345030449,Sent
120,71,11,2023-08-06,131631833,Sent
121,100,122,2023-01-16,372744867,Sent
122,40,60,2022-10-05,301860825,Sent
123,39,72,2023-02-05,419405619,Sent
124,77,25,2023-05-06,200194197,Sent
125,71,17,2023-04-14,240745198,Sent
126,72,84,2023-03-29,312837185,Sent
127,15,38,2022-10-15,226115027,Sent
128,66,26,2023-01-26,415963723,Sent
129,39,96,2022-11-16,134657045,Sent
130,14,98,2023-01-29,138670385,Sent
131,54,121,2022-10-11,409430439,Sent
132,95,78,2023-07-20,139983625,Sent
133,48,109,2023-06-26,454082455,Sent
134,66,85,2022-08-26,290781357,Sent
135,45,5,2023-04-02,159241293,Sent
136,23,106,2023-08-19,483293909,Sent
137,41,89,2023-07-18,218805292,Sent
138,59,13,2022-09-29,344932507,Sent
139,63,69,2023-08-01,378382623,Sent
140,16,39,2023-01-10,105347323,Sent
141,7,27,2023-03-09,136012104,Sent
142,50,104,2022-12-15,275267568,Sent
143,96,120,2023-02-13,104244176,Sent
144,96,123,2022-12-01,314704257,Sent
145,36,83,2023-07-14,470273441,Sent
146,20,66,2023-06-18,101867491,Sent
147,93,18,2023-03-02,335727644,Sent
148,30,25,2023-07-03,470740566,Sent
149,53,47,2022-09-13,140220500,Sent
150,7,48,2023-06-06,311296566,Sent
